name,type,domain,reference_name
THIEU NIEN TIEN PHONG,Tạp chí (Magazine),,
THOI BAO KINH TE SAI GON,Tạp chí (Magazine),,
THOI BAO VTV ONAIR,Tạp chí (Magazine),,
THOI GIAN,Tạp chí (Magazine),,
THUOC & SUC KHOE,Tạp chí (Magazine),,
TIA SANG,Tạp chí (Magazine),,
TIEP THI & GIA DINH,Tạp chí (Magazine),,
TUOI TRE CUOI TUAN,Tạp chí (Magazine),,
VAN HOA NGHE THUAT,Tạp chí (Magazine),,
VI TRE EM,Tạp chí (Magazine),,
VIETNAM BUSINESS FORUM,Tạp chí (Magazine),,
VIETNAM ECONOMIC NEWS,Tạp chí (Magazine),,
VIETNAM ECONOMIC TIMES,Tạp chí (Magazine),,
WORLD OF WATCHES,Tạp chí (Magazine),,
1THEGIOI,Website,1thegioi.vn,
24H,Website,24h.com.vn,
AFAMILY,Website,afamily.vn,
ANNINHTHUDO,Website,anninhthudo.vn,
BAODAUTHAU,Website,baodauthau.vn,
BAODAUTU,Website,baodautu.vn,
BAOMOI,Website,baomoi.com,
BAOPHAPLUAT,Website,baophapluat.vn,
BAOTINTUC,Website,baotintuc.vn,
BAZAARVIETNAM,Website,bazaarvietnam.vn,
BIZHUB,Website,bizhub.vn,
BNEWS,Website,bnews.vn,
BONGDA,Website,bongda.com.vn,
BONGDAPLUS,Website,bongdaplus.vn,
BSAONLINE,Website,bsaonline.vn,
CADN,Website,cadn.com.vn,
CAFEBIZ,Website,cafebiz.vn,
CAFEF,Website,cafef.vn,
CAFELAND,Website,cafeland.vn,
CAND,Website,cand.com.vn,
CHATLUONGVACUOCSONG,Website,chatluongvacuocsong.vn,
CHUYENDONGTHITRUONG,Website,chuyendongthitruong.vn,
COHOIGIAOTHUONG,Website,cohoigiaothuong.vn,
CONGAN,Website,congan.com.vn,
CONGLUAN,Website,congluan.vn,
CONGLY,Website,congly.vn,
CONGNGHIEPTIEUDUNG,Website,congnghieptieudung.vn,
CONGTHUONG,Website,congthuong.vn,
COSMOLIFE,Website,cosmolife.vn,
DAIBIEUNHANDAN,Website,daibieunhandan.vn,
DAIDOANKET,Website,daidoanket.vn,
DANTRI,Website,dantri.com.vn,
DANVIET,Website,danviet.vn,
DAUTUTHUONGMAI,Website,daututhuongmai.vn,
DAUTUVIETNAM,Website,dautuvietnam.com.vn,
DELUXEVIETNAM,Website,deluxevietnam.com,
DEP,Website,dep.com.vn,
DEPVAPHONGCACH,Website,depvaphongcach.com,
DIENDANDOANHNGHIEP,Website,diendandoanhnghiep.vn,
DIENTUUNGDUNG,Website,dientuungdung.vn,
DOANHNGHIEPCUOCSONG,Website,doanhnghiepcuocsong.vn,
DOANHNGHIEPHOINHAP,Website,doanhnghiephoinhap.vn,
DOANHNGHIEPTIEPTHI,Website,doanhnghieptiepthi.vn,
DOANHNGHIEPVN,Website,doanhnghiepvn.vn,
DOANHNHANDOISONG,Website,doanhnhandoisong.vn,
DOANHNHANSAIGON,Website,doanhnhansaigon.vn,
DOANHNHANTHITRUONG,Website,doanhnhanthitruong.vn,
DOISONGPHAPLUAT,Website,doisongphapluat.com.vn,
DOISONGTIEUDUNG,Website,doisongtieudung.vn,
ELLE,Website,elle.vn,
ELLEMAN,Website,elleman.vn,
EVA,Website,eva.vn,
EVNEXPRESS,Website,evnexpress.net,
FORBES,Website,forbes.vn,
GENK,Website,genk.vn,
GIADINHONLINE,Website,giadinhonline.vn,
GIADINHVAPHAPLUAT,Website,giadinhvaphapluat.vn,
GIAODUC,Website,giaoduc.net.vn,
GIAODUCTHOIDAI,Website,giaoducthoidai.vn,
GOLFANDLIFE,Website,golfandlife.com.vn,
HANOIMOI,Website,hanoimoi.vn,
HANOINGAYNAY,Website,hanoingaynay.vn,
HANOITIMES,Website,hanoitimes.vn,
IAV,Website,iav.vn,
INVESTGLOBAL,Website,investglobal.vn,
KENH14,Website,kenh14.vn,
KHOAHOCDOISONG,Website,khoahocdoisong.vn,
KHOAHOCPHATTRIEN,Website,khoahocphattrien.vn,
KHOAHOCPHOTHONG,Website,khoahocphothong.vn,
KIENTHUC,Website,kienthuc.net.vn,
KINHDOANHDOISONG,Website,kinhdoanhdoisong.vn,
KINHDOANHNET,Website,kinhdoanhnet.vn,
KINHDOANHPLUS,Website,kinhdoanhplus.vn,
KINHTECHUNGKHOAN,Website,kinhtechungkhoan.vn,
KINHTEDOISONG,Website,kinhtedoisong.vn,
KINHTEDOTHI,Website,kinhtedothi.vn,
KINHTEMOITRUONG,Website,kinhtemoitruong.vn,
KINHTENEWS,Website,kinhtenews.com,
KINHTENONGTHON,Website,kinhtenongthon.vn,
KINHTEVADUBAO,Website,kinhtevadubao.vn,
LAMCHAME,Website,lamchame.com,
LAODONG,Website,laodong.vn,
LAODONGTHUDO,Website,laodongthudo.vn,
LECOURRIER,Website,lecourrier.vn,
LUXUO,Website,luxuo.vn,
NGAYMOIONLINE,Website,ngaymoionline.com.vn,
NGAYNAY,Website,ngaynay.vn,
NGHENHINVIETNAM,Website,nghenhinvietnam.vn,
NGUOIDOTHI,Website,nguoidothi.net.vn,
NGUOIDUATIN,Website,nguoiduatin.vn,
NGUOIHA NOI,Website,nguoihanoi.vn,
NGUOIQUANSAT,Website,nguoiquansat.vn,
NGUOITIEUDUNGONLINE,Website,nguoitieudungonline.com,
NHADAUTU,Website,nhadautu.vn,
NHANDAN,Website,nhandan.vn,
NHAQUANLY,Website,nhaquanly.vn,
NHIPCAUDAUTU,Website,nhipcaudautu.vn,
NHIPSONGKINHDOANH,Website,nhipsongkinhdoanh.vn,
NLD,Website,nld.com.vn,
NONGNGHIEP,Website,nongnghiep.vn,
NONGTHONVIET,Website,nongthonviet.com.vn,
NSS,Website,nss.vn,
PETROTIMES,Website,petrotimes.vn,
PHUNUHIENDAI,Website,phunuhien-dai.vn,
PHUNUMOI,Website,phunumoi.net.vn,
PHUNUNET,Website,phununet.net,
PHUNUONLINE,Website,phunuonline.vn,
PHUNUVIETNAM,Website,phunuvietnam.vn,
PLO,Website,plo.vn,
QDND,Website,qdnd.vn,
QLTT,Website,qltt.vn,
REATIMES,Website,reatimes.vn,
ROBBREPORT,Website,robbreport.com.vn,
SGGP,Website,sggp.org.vn,
SGTIEPTHI,Website,sgtiepthi.vn,
SOHA,Website,soha.vn,
STOCKBIZ,Website,stockbiz.vn,
SUCKHOEDOISONG,Website,suckhoedoisong.vn,
SUCKHOEMOITRUONG,Website,suckhoemoitruong.com.vn,
TAICHINHDOANHNGHIEP,Website,taichinhdoanhnghiep.net.vn,
TAICHINHXANH,Website,taichinhxanh.net,
TAPCHICONGTHUONG,Website,tapchicongthuong.vn,
TAPCHIGIAOTHONG,Website,tapchigiaothong.vn,
TAPCHILAODONGXAHOI,Website,tapchilaodongxahoi.vn,
TAPCHIMATTRAN,Website,tapchimattran.vn,
TAPCHIMOITRUONG,Website,tapchimoitruong.vn,
TAPCHITAICHINH,Website,tapchitaichinh.vn,
TAPCHIXAYDUNG,Website,tapchixaydung.vn,
THANHNIEN,Website,thanhnien.vn,
THANHNIENVIET,Website,thanhnienviet.vn,
THANHTRA,Website,thanhtra.com.vn,
THEGIOIDIENANH,Website,thegioidienanh.vn,
THEGIOIHOINHAP,Website,thegioihoinhap.vn,
THEGIOIVANHOA,Website,thegioivanhoa.net,
THEINVESTOR,Website,theinvestor.vn,
THELEADER,Website,theleader.vn,
THESAIGONTIMES,Website,thesaigontimes.vn,
THETHAOVANHOA,Website,thethaovanhoa.vn,
THIEUNIEN,Website,thieunien.vn,
THITRUONG365,Website,thitruong365.com,
THITRUONGTAICHINHTIENTE,Website,thitruongtaichinhtiente.vn,
THOIBAOTAICHINHVIETNAM,Website,thoibaotaichinhvietnam.vn,
THOIDAI,Website,thoidai.com.vn,
THUONGGIAONLINE,Website,thuonggiaonline.vn,
THUONGHIEUSANPHAM,Website,thuonghieusanpham.vn,
THUONGHIEUVAPHAPLUAT,Website,thuonghieuvaphapluat.vn,
THUONGTRUONG,Website,thuongtruong.com.vn,
TIENPHONG,Website,tienphong.vn,
TIEPTHIDAUTU24H,Website,tiepthidautu24h.vn,
TIEPTHIVAGIADINH,Website,tiepthivagiadinh.vn,
TIIN,Website,tiin.vn,
TINHTE,Website,tinhte.vn,
TINNHANHCHUNGKHOAN,Website,tinnhanhchungkhoan.vn,
TINTUCONLINE,Website,tintuconline.com.vn,
TINTUCVIETNAM,Website,tintucvietnam.vn,
TOQUOC,Website,toquoc.vn,
TUOITRE,Website,tuoitre.vn,
TUOITRENEWS,Website,tuoitrenews.vn,
TUOITRETHUDO,Website,tuoitrethudo.vn,
TUYENGIAO,Website,tuyengiao.vn,
VCCINEWS,Website,vccinews.com,
VCCINEWS,Website,vccinews.vn,
VEF,Website,vef.vn,
VIETBAO,Website,vietbao.vn,
VIETDAILY,Website,vietdaily.vn,
VIETNAMBIZ,Website,vietnambiz.vn,
VIETNAMFINANCE,Website,vietnamfinance.vn,
VIETNAMHOINHAP,Website,vietnamhoinhap.vn,
VIETNAMNET,Website,vietnamnet.vn,
VIETNAMNEWS,Website,vietnamnews.vn,
VIETNAMPLUS,Website,vietnamplus.vn,
VIETPRESS,Website,vietpress.vn,
VIETQ,Website,vietq.vn,
VIETSTOCK,Website,vietstock.vn,
VIETTIMES,Website,viettimes.vn,
VIR,Website,vir.com.vn,
VJST,Website,vjst.vn,
VLR,Website,vlr.vn,
VNBUSINESS,Website,vnbusiness.vn,
VNECONOMY,Website,vneconomy.vn,
VNEXPRESS,Website,vnexpress.net,
VNFINANCE,Website,vnfinance.vn,
VNMEDIA,Website,vnmedia.vn,
VNREVIEW,Website,vnreview.vn,
VOH,Website,voh.com.vn,
VOV,Website,vov.vn,
VOVGIAOTHONG,Website,vovgiaothong.vn,
VTCNEWS,Website,vtcnews.vn,
VTV,Website,vtv.vn,
YAN,Website,yan.vn,
YEAH1,Website,yeah1.com,
ZNEWS,Website,znews.vn,
BTV1,TV Channel,,BTV1
DANANG TV1,TV Channel,,DANANG TV1
HA NOI TV,TV Channel,,HA NOI TV
HTV7,TV Channel,,HTV7
HTV9,TV Channel,,HTV9
SCTV8,TV Channel,,SCTV8
VTV1,TV Channel,,VTV1
VTV2,TV Channel,,VTV2
VTV3,TV Channel,,VTV3
VTV9,TV Channel,,VTV9
